,stat,variable,Val
263,75%,FemaleUndergraduates,2749.0
264,75%,TotalUndergraduates,4990.0
265,75%,SportCode,2.0
266,75%,ParticipantsMensTeam,17.0
267,75%,ParticipantsWomensTeam,16.0
268,75%,ParticipantsMenCoedTeam,12.25
269,75%,ParticipantsWomenCoedTeam,14.0
270,75%,TotalParticipantsMensTeamMenCoedTeam,17.0
271,75%,TotalParticipantsWomensTeamWomenCoedTeam,16.0
272,75%,OperatingExpensesperParticipantMensTeam,5884.0
273,75%,OperatingExpensesperTeamMensTeam,91354.0
274,75%,OperatingExpensesperParticipantWomensTeam,5510.0
275,75%,OperatingExpensesperTeamWomensTeam,79565.0
276,75%,TotalOperatingExpensesMensTeamandWomensTeam,169227.0
277,75%,OperatingExpensesperParticipantMenCoedTeam,1393.2116856999999
278,75%,OperatingExpensesperTeamMenCoedTeam,17940.918584500003
279,75%,OperatingExpensesperParticipantWomenCoedTeam,1393.2116856999999
280,75%,OperatingExpensesperTeamWomenCoedTeam,21835.831415499997
281,75%,TotalOperatingExpensesMenCoedTeamWomenCoedTeam,39776.75
282,75%,RevenuesMensTeam,538764.0
283,75%,RevenuesWomensTeam,435148.0
284,75%,TotalRevenuesForMensTeamandWomensTeam,970953.0
285,75%,RevenuesMenCoedTeam,29718.968394175
286,75%,RevenuesWomenCoedTeam,36545.781605825
287,75%,TotalRevenuesMenCoedTeamWomenCoedTeam,66264.75
288,75%,TotalRevenuesMensTeamandMenCoedTeam,531101.75
289,75%,TotalRevenuesWomensTeamandWomenCoedTeam,424382.0
290,75%,TotalRevenuesMensTeamWomensTeamandCoedTeam,970905.75
291,75%,ExpensesMensTeam,549214.25
292,75%,ExpensesWomensTeam,484349.75
293,75%,TotalExpensesMensTeamandWomensTeam,1002328.75
294,75%,ExpensesMenCoedTeam,94950.60920825
295,75%,ExpensesWomenCoedTeam,116651.39079174999
296,75%,TotalExpensesMenCoedTeamandWomenCoedTeam,211602.0
297,75%,TotalExpensesMensTeamandMenCoedTeam,540882.5
298,75%,TotalExpensesWomensTeamandWomenCoedTeam,467767.5
299,75%,TotalExpensesMensTeamWomensTeamandCoedTeam,1002054.75
300,75%,UGratioBG,0.9628394831252739
301,max,SurveyYear,2020.0
302,max,UNITID,495767.0
303,max,ClassificationName,114.0
304,max,SanctionCode,8.0
305,max,MaleUndergraduates,34602.0
306,max,FemaleUndergraduates,29942.0
307,max,TotalUndergraduates,64544.0
308,max,SportCode,2.0
309,max,ParticipantsMensTeam,261.0
310,max,ParticipantsWomensTeam,211.0
311,max,ParticipantsMenCoedTeam,13.0
312,max,ParticipantsWomenCoedTeam,16.0
313,max,TotalParticipantsMensTeamMenCoedTeam,261.0
314,max,TotalParticipantsWomensTeamWomenCoedTeam,211.0
315,max,OperatingExpensesperParticipantMensTeam,394068.0
316,max,OperatingExpensesperTeamMensTeam,6255125.0
317,max,OperatingExpensesperParticipantWomensTeam,215285.0
318,max,OperatingExpensesperTeamWomensTeam,2620962.0
319,max,TotalOperatingExpensesMensTeamandWomensTeam,7716375.0
320,max,OperatingExpensesperParticipantMenCoedTeam,1781.689655
321,max,OperatingExpensesperTeamMenCoedTeam,23161.96552
322,max,OperatingExpensesperParticipantWomenCoedTeam,1781.689655
323,max,OperatingExpensesperTeamWomenCoedTeam,28507.03448
324,max,TotalOperatingExpensesMenCoedTeamWomenCoedTeam,51669.0
325,max,RevenuesMensTeam,45835799.0
326,max,RevenuesWomensTeam,21440365.0
327,max,TotalRevenuesForMensTeamandWomensTeam,48559421.0
328,max,RevenuesMenCoedTeam,39528.06897
329,max,RevenuesWomenCoedTeam,48649.93103
330,max,TotalRevenuesMenCoedTeamWomenCoedTeam,88178.0
331,max,TotalRevenuesMensTeamandMenCoedTeam,45835799.0
332,max,TotalRevenuesWomensTeamandWomenCoedTeam,21440365.0
333,max,TotalRevenuesMensTeamWomensTeamandCoedTeam,48559421.0
334,max,ExpensesMensTeam,22904141.0
335,max,ExpensesWomensTeam,20777914.0
336,max,TotalExpensesMensTeamandWomensTeam,43682055.0
337,max,ExpensesMenCoedTeam,125948.0345
338,max,ExpensesWomenCoedTeam,155012.9655
339,max,TotalExpensesMenCoedTeamandWomenCoedTeam,280961.0
340,max,TotalExpensesMensTeamandMenCoedTeam,22904141.0
341,max,TotalExpensesWomensTeamandWomenCoedTeam,20777914.0
342,max,TotalExpensesMensTeamWomensTeamandCoedTeam,43682055.0
343,max,UGratioBG,1121.0
