,SurveyYear,group,fulltype,Val,fulltypegroup,gender,type
484,2016,0.5,OperatingExpensesperTeamMensTeam,1205988.0,OperatingExpensesperTeamMensTeam0.5,M,expenses
485,2016,0.5,OperatingExpensesperTeamWomensTeam,694284.0,OperatingExpensesperTeamWomensTeam0.5,W,expenses
486,2016,0.5,RevenuesMensTeam,6970262.0,RevenuesMensTeam0.5,M,revenues
487,2016,0.5,RevenuesWomensTeam,1518866.0,RevenuesWomensTeam0.5,W,revenues
488,2016,0.6,OperatingExpensesperTeamMensTeam,1441173.5999999999,OperatingExpensesperTeamMensTeam0.6,M,expenses
489,2016,0.6,OperatingExpensesperTeamWomensTeam,840301.7999999999,OperatingExpensesperTeamWomensTeam0.6,W,expenses
490,2016,0.6,RevenuesMensTeam,8814825.399999999,RevenuesMensTeam0.6,M,revenues
491,2016,0.6,RevenuesWomensTeam,1798315.4,RevenuesWomensTeam0.6,W,revenues
492,2016,0.7,OperatingExpensesperTeamMensTeam,1685229.2,OperatingExpensesperTeamMensTeam0.7,M,expenses
493,2016,0.7,OperatingExpensesperTeamWomensTeam,972664.7999999999,OperatingExpensesperTeamWomensTeam0.7,W,expenses
494,2016,0.7,RevenuesMensTeam,10032680.799999999,RevenuesMensTeam0.7,M,revenues
495,2016,0.7,RevenuesWomensTeam,2153211.0,RevenuesWomensTeam0.7,W,revenues
496,2016,0.8,OperatingExpensesperTeamMensTeam,1981953.4000000001,OperatingExpensesperTeamMensTeam0.8,M,expenses
497,2016,0.8,OperatingExpensesperTeamWomensTeam,1136763.2,OperatingExpensesperTeamWomensTeam0.8,W,expenses
498,2016,0.8,RevenuesMensTeam,13284993.6,RevenuesMensTeam0.8,M,revenues
499,2016,0.8,RevenuesWomensTeam,2590136.8000000003,RevenuesWomensTeam0.8,W,revenues
500,2016,0.9,OperatingExpensesperTeamMensTeam,2288413.0,OperatingExpensesperTeamMensTeam0.9,M,expenses
501,2016,0.9,OperatingExpensesperTeamWomensTeam,1339783.2,OperatingExpensesperTeamWomensTeam0.9,W,expenses
502,2016,0.9,RevenuesMensTeam,17560192.8,RevenuesMensTeam0.9,M,revenues
503,2016,0.9,RevenuesWomensTeam,3664502.2000000007,RevenuesWomensTeam0.9,W,revenues
504,2017,0.1,OperatingExpensesperTeamMensTeam,466043.0,OperatingExpensesperTeamMensTeam0.1,M,expenses
505,2017,0.1,OperatingExpensesperTeamWomensTeam,294937.0,OperatingExpensesperTeamWomensTeam0.1,W,expenses
506,2017,0.1,RevenuesMensTeam,2126673.5,RevenuesMensTeam0.1,M,revenues
507,2017,0.1,RevenuesWomensTeam,481917.0,RevenuesWomensTeam0.1,W,revenues
508,2017,0.2,OperatingExpensesperTeamMensTeam,582119.0,OperatingExpensesperTeamMensTeam0.2,M,expenses
509,2017,0.2,OperatingExpensesperTeamWomensTeam,345883.0,OperatingExpensesperTeamWomensTeam0.2,W,expenses
510,2017,0.2,RevenuesMensTeam,2610949.0,RevenuesMensTeam0.2,M,revenues
511,2017,0.2,RevenuesWomensTeam,694589.0,RevenuesWomensTeam0.2,W,revenues
512,2017,0.3,OperatingExpensesperTeamMensTeam,718872.0,OperatingExpensesperTeamMensTeam0.3,M,expenses
513,2017,0.3,OperatingExpensesperTeamWomensTeam,439310.0,OperatingExpensesperTeamWomensTeam0.3,W,expenses
514,2017,0.3,RevenuesMensTeam,3274391.0,RevenuesMensTeam0.3,M,revenues
515,2017,0.3,RevenuesWomensTeam,1206987.5,RevenuesWomensTeam0.3,W,revenues
516,2017,0.4,OperatingExpensesperTeamMensTeam,962734.0,OperatingExpensesperTeamMensTeam0.4,M,expenses
517,2017,0.4,OperatingExpensesperTeamWomensTeam,572973.0,OperatingExpensesperTeamWomensTeam0.4,W,expenses
518,2017,0.4,RevenuesMensTeam,4746053.0,RevenuesMensTeam0.4,M,revenues
519,2017,0.4,RevenuesWomensTeam,1390228.0,RevenuesWomensTeam0.4,W,revenues
520,2017,0.5,OperatingExpensesperTeamMensTeam,1340297.5,OperatingExpensesperTeamMensTeam0.5,M,expenses
521,2017,0.5,OperatingExpensesperTeamWomensTeam,713475.5,OperatingExpensesperTeamWomensTeam0.5,W,expenses
522,2017,0.5,RevenuesMensTeam,7268248.5,RevenuesMensTeam0.5,M,revenues
523,2017,0.5,RevenuesWomensTeam,1613974.5,RevenuesWomensTeam0.5,W,revenues
