,SurveyYear,type,Val
259,2013,TotalRevenuesMensTeamandMenCoedTeam,1020014.1148886284
260,2013,TotalRevenuesWomensTeamandWomenCoedTeam,434469.0058616647
261,2013,TotalRevenuesMensTeamWomensTeamandCoedTeam,1454483.1207502931
262,2013,ExpensesMensTeam,835859.0231729056
263,2013,ExpensesWomensTeam,531561.634766808
264,2013,TotalExpensesMensTeamandWomensTeam,1339014.6512309497
265,2013,TotalExpensesMensTeamandMenCoedTeam,824590.1148886284
266,2013,TotalExpensesWomensTeamandWomenCoedTeam,514424.5363423212
267,2013,TotalExpensesMensTeamWomensTeamandCoedTeam,1339014.6512309497
268,2014,TotalUndergraduates,4433.835287221571
269,2014,ParticipantsMensTeam,16.893768545994064
270,2014,ParticipantsWomensTeam,15.26144578313253
271,2014,TotalParticipantsMensTeamMenCoedTeam,16.685814771395076
272,2014,TotalParticipantsWomensTeamWomenCoedTeam,14.849941383352872
273,2014,OperatingExpensesperParticipantMensTeam,11592.26084407972
274,2014,OperatingExpensesperTeamMensTeam,181205.79132473623
275,2014,OperatingExpensesperParticipantWomensTeam,7287.86694021102
276,2014,OperatingExpensesperTeamWomensTeam,118481.57678780773
277,2014,TotalOperatingExpensesMensTeamandWomensTeam,299687.36811254395
278,2014,RevenuesMensTeam,1080323.8818991098
279,2014,RevenuesWomensTeam,464834.2668674699
280,2014,TotalRevenuesForMensTeamandWomensTeam,1519326.2743259086
281,2014,TotalRevenuesMensTeamandMenCoedTeam,1067025.6395076201
282,2014,TotalRevenuesWomensTeamandWomenCoedTeam,452300.6348182884
283,2014,TotalRevenuesMensTeamWomensTeamandCoedTeam,1519326.2743259086
284,2014,ExpensesMensTeam,881855.4670623145
285,2014,ExpensesWomensTeam,557640.9144578313
286,2014,TotalExpensesMensTeamandWomensTeam,1413605.1465416178
287,2014,TotalExpensesMensTeamandMenCoedTeam,871000.2708089098
288,2014,TotalExpensesWomensTeamandWomenCoedTeam,542604.8757327081
289,2014,TotalExpensesMensTeamWomensTeamandCoedTeam,1413605.1465416178
290,2015,TotalUndergraduates,4420.955258570599
291,2015,ParticipantsMensTeam,16.963529411764707
292,2015,ParticipantsWomensTeam,15.205143540669857
293,2015,TotalParticipantsMensTeamMenCoedTeam,16.756536897152817
294,2015,TotalParticipantsWomensTeamWomenCoedTeam,14.772225450319581
295,2015,OperatingExpensesperParticipantMensTeam,12183.495642068565
296,2015,OperatingExpensesperTeamMensTeam,190614.13015688554
297,2015,OperatingExpensesperParticipantWomensTeam,7362.959325973271
298,2015,OperatingExpensesperTeamWomensTeam,121027.82277745497
299,2015,TotalOperatingExpensesMensTeamandWomensTeam,311641.9529343405
300,2015,RevenuesMensTeam,1117613.6817647058
301,2015,RevenuesWomensTeam,488974.62679425837
302,2015,TotalRevenuesForMensTeamandWomensTeam,1579028.9570017431
303,2015,TotalRevenuesMensTeamandMenCoedTeam,1103976.3271353864
304,2015,TotalRevenuesWomensTeamandWomenCoedTeam,475052.6298663568
305,2015,TotalRevenuesMensTeamWomensTeamandCoedTeam,1579028.9570017431
306,2015,ExpensesMensTeam,927811.7076470589
307,2015,ExpensesWomensTeam,584401.178229665
308,2015,TotalExpensesMensTeamandWomensTeam,1484252.5700174316
309,2015,TotalExpensesMensTeamandMenCoedTeam,916490.3561882626
310,2015,TotalExpensesWomensTeamandWomenCoedTeam,567762.213829169
311,2015,TotalExpensesMensTeamWomensTeamandCoedTeam,1484252.5700174316
312,2016,TotalUndergraduates,4409.131517960603
313,2016,ParticipantsMensTeam,16.99941417691857
314,2016,ParticipantsWomensTeam,15.335510688836104
315,2016,TotalParticipantsMensTeamMenCoedTeam,16.812282734646583
316,2016,TotalParticipantsWomensTeamWomenCoedTeam,14.96234067207416
317,2016,OperatingExpensesperParticipantMensTeam,12569.082271147161
318,2016,OperatingExpensesperTeamMensTeam,197216.174391657
319,2016,OperatingExpensesperParticipantWomensTeam,7661.703939745075
320,2016,OperatingExpensesperTeamWomensTeam,124937.31170336038
321,2016,TotalOperatingExpensesMensTeamandWomensTeam,322153.4860950174
322,2016,RevenuesMensTeam,1158946.4364381956
323,2016,RevenuesWomensTeam,517166.5760095012
324,2016,TotalRevenuesForMensTeamandWomensTeam,1650770.6147161066
325,2016,TotalRevenuesMensTeamandMenCoedTeam,1146188.6251448435
326,2016,TotalRevenuesWomensTeamandWomenCoedTeam,504581.989571263
327,2016,TotalRevenuesMensTeamWomensTeamandCoedTeam,1650770.6147161066
328,2016,ExpensesMensTeam,967939.2144112478
329,2016,ExpensesWomensTeam,607314.830760095
330,2016,TotalExpensesMensTeamandWomensTeam,1549820.6338354577
331,2016,TotalExpensesMensTeamandMenCoedTeam,957284.0318655851
332,2016,TotalExpensesWomensTeamandWomenCoedTeam,592536.6019698725
333,2016,TotalExpensesMensTeamWomensTeamandCoedTeam,1549820.6338354577
334,2017,TotalUndergraduates,4400.55446685879
335,2017,ParticipantsMensTeam,17.227272727272727
336,2017,ParticipantsWomensTeam,15.400828892835998
337,2017,TotalParticipantsMensTeamMenCoedTeam,17.038616714697405
338,2017,TotalParticipantsWomensTeamWomenCoedTeam,14.99250720461095
339,2017,OperatingExpensesperParticipantMensTeam,13315.136599423631
340,2017,OperatingExpensesperTeamMensTeam,209412.21729106628
341,2017,OperatingExpensesperParticipantWomensTeam,7818.238040345821
342,2017,OperatingExpensesperTeamWomensTeam,128469.34409221902
343,2017,TotalOperatingExpensesMensTeamandWomensTeam,337881.5613832853
344,2017,RevenuesMensTeam,1222826.2832167833
345,2017,RevenuesWomensTeam,523576.2238010657
346,2017,TotalRevenuesForMensTeamandWomensTeam,1719129.7659942363
347,2017,TotalRevenuesMensTeamandMenCoedTeam,1209435.1020172911
348,2017,TotalRevenuesWomensTeamandWomenCoedTeam,509694.6639769453
349,2017,TotalRevenuesMensTeamWomensTeamandCoedTeam,1719129.7659942363
350,2017,ExpensesMensTeam,1027064.3560606061
351,2017,ExpensesWomensTeam,633296.4837181765
352,2017,TotalExpensesMensTeamandWomensTeam,1632322.8795389049
353,2017,TotalExpensesMensTeamandMenCoedTeam,1015816.9654178674
354,2017,TotalExpensesWomensTeamandWomenCoedTeam,616505.9141210375
355,2017,TotalExpensesMensTeamWomensTeamandCoedTeam,1632322.8795389049
356,2018,TotalUndergraduates,4354.039406053684
357,2018,ParticipantsMensTeam,17.252595155709344
358,2018,ParticipantsWomensTeam,15.398704358068315
359,2018,TotalParticipantsMensTeamMenCoedTeam,17.085094231867505
360,2018,TotalParticipantsWomensTeamWomenCoedTeam,14.932609937178755
361,2018,OperatingExpensesperParticipantMensTeam,13880.499714448886
362,2018,OperatingExpensesperTeamMensTeam,219286.10165619646
363,2018,OperatingExpensesperParticipantWomensTeam,8055.657909765848
364,2018,OperatingExpensesperTeamWomensTeam,133533.15362649914
365,2018,TotalOperatingExpensesMensTeamandWomensTeam,352819.2552826956
366,2018,RevenuesMensTeam,1262444.6643598615
367,2018,RevenuesWomensTeam,555371.2355712603
368,2018,TotalRevenuesForMensTeamandWomensTeam,1788748.946887493
369,2018,TotalRevenuesMensTeamandMenCoedTeam,1250187.9200456883
370,2018,TotalRevenuesWomensTeamandWomenCoedTeam,538561.0268418047
371,2018,TotalRevenuesMensTeamWomensTeamandCoedTeam,1788748.946887493
372,2018,ExpensesMensTeam,1067345.8206459053
373,2018,ExpensesWomensTeam,654714.4169611307
374,2018,TotalExpensesMensTeamandWomensTeam,1691880.4871502
375,2018,TotalExpensesMensTeamandMenCoedTeam,1056983.2398629354
376,2018,TotalExpensesWomensTeamandWomenCoedTeam,634897.2472872644
377,2018,TotalExpensesMensTeamWomensTeamandCoedTeam,1691880.4871502
378,2019,TotalUndergraduates,4302.901192504259
379,2019,ParticipantsMensTeam,17.40435280641466
380,2019,ParticipantsWomensTeam,15.42305441778818
381,2019,TotalParticipantsMensTeamMenCoedTeam,17.25610448608745
382,2019,TotalParticipantsWomensTeamWomenCoedTeam,14.96763202725724
383,2019,OperatingExpensesperParticipantMensTeam,12980.718909710391
384,2019,OperatingExpensesperTeamMensTeam,206159.39068710958
385,2019,OperatingExpensesperParticipantWomensTeam,8028.305508233958
386,2019,OperatingExpensesperTeamWomensTeam,131676.6973310619
387,2019,TotalOperatingExpensesMensTeamandWomensTeam,337836.0880181715
388,2019,RevenuesMensTeam,1194208.6626575028
389,2019,RevenuesWomensTeam,535691.2305441779
390,2019,TotalRevenuesForMensTeamandWomensTeam,1703909.504826803
391,2019,TotalRevenuesMensTeamandMenCoedTeam,1184036.52754117
392,2019,TotalRevenuesWomensTeamandWomenCoedTeam,519872.97728563315
393,2019,TotalRevenuesMensTeamWomensTeamandCoedTeam,1703909.504826803
394,2019,ExpensesMensTeam,1051091.235395189
395,2019,ExpensesWomensTeam,650146.4025746051
396,2019,TotalExpensesMensTeamandWomensTeam,1673086.597955707
397,2019,TotalExpensesMensTeamandMenCoedTeam,1042138.1584327087
398,2019,TotalExpensesWomensTeamandWomenCoedTeam,630948.4395229983
399,2019,TotalExpensesMensTeamWomensTeamandCoedTeam,1673086.597955707
400,2020,TotalUndergraduates,4370.5330188679245
401,2020,ParticipantsMensTeam,17.96156485929993
402,2020,ParticipantsWomensTeam,15.535588442565187
403,2020,TotalParticipantsMensTeamMenCoedTeam,17.63477088948787
404,2020,TotalParticipantsWomensTeamWomenCoedTeam,14.85512129380054
405,2020,OperatingExpensesperParticipantMensTeam,9229.283018867925
406,2020,OperatingExpensesperTeamMensTeam,148383.2715633423
407,2020,OperatingExpensesperParticipantWomensTeam,6528.905660377359
408,2020,OperatingExpensesperTeamWomensTeam,99672.63477088949
409,2020,TotalOperatingExpensesMensTeamandWomensTeam,248055.9063342318
410,2020,RevenuesMensTeam,1098959.1674673988
411,2020,RevenuesWomensTeam,613248.8893587033
412,2020,TotalRevenuesForMensTeamandWomensTeam,1665352.8847708895
413,2020,TotalRevenuesMensTeamandMenCoedTeam,1078964.6273584906
414,2020,TotalRevenuesWomensTeamandWomenCoedTeam,586388.2574123989
415,2020,TotalRevenuesMensTeamWomensTeamandCoedTeam,1665352.8847708895
416,2020,ExpensesMensTeam,1039396.7954701441
417,2020,ExpensesWomensTeam,663255.081042988
418,2020,TotalExpensesMensTeamandWomensTeam,1654690.0882749327
419,2020,TotalExpensesMensTeamandMenCoedTeam,1020485.9373315364
420,2020,TotalExpensesWomensTeamandWomenCoedTeam,634204.1509433963
421,2020,TotalExpensesMensTeamWomensTeamandCoedTeam,1654690.0882749327
