,SurveyYear,InstitutionName,UGratioBG,MaleUndergraduates,FemaleUndergraduates,RevenuesMensTeam,RevenuesWomensTeam,ExpensesMensTeam,ExpensesWomensTeam,OperatingExpensesperTeamMensTeam,OperatingExpensesperTeamWomensTeam
75,2003,Baylor University,0.712287104622871,4684.0,6576.0,1567394.0,1529120.0,1963299.0,1915358.0,379589.0,369141.0
76,2003,Belhaven College,0.4883177570093458,627.0,1284.0,164143.0,165424.0,164109.0,171313.0,30170.0,29774.0
77,2003,Bellarmine University,0.5206136145733461,543.0,1043.0,428546.0,425552.0,447831.0,446586.0,45182.0,55711.0
78,2003,Bellevue Community College,0.9082474226804124,2643.0,2910.0,40000.0,40100.0,40000.0,36000.0,11834.0,9000.0
79,2003,Bellevue University,1.1245614035087719,1282.0,1140.0,4000.0,,114775.0,,45775.0,0.0
80,2003,Belmont Abbey College,0.7114093959731543,318.0,447.0,950.0,3762.0,221516.0,227843.0,19463.0,18220.0
81,2003,Belmont University,0.6755218216318786,1068.0,1581.0,446934.0,106953.0,758393.0,572215.0,125070.0,78601.0
82,2003,Beloit College,0.6553079947575361,500.0,763.0,23282.0,18312.0,23282.0,18312.0,23282.0,18312.0
83,2003,Bemidji State University,0.9849624060150376,1703.0,1729.0,195830.0,206289.0,195830.0,206289.0,58186.0,53351.0
84,2003,Benedict College,0.9683908045977011,1348.0,1392.0,2230.0,2230.0,148905.0,139977.0,48473.0,39546.0
85,2003,Benedictine College,1.0439330543933054,499.0,478.0,214432.0,167378.0,214432.0,167378.0,20631.0,34937.0
86,2003,Benedictine University,0.6539325842696629,582.0,890.0,59985.0,60257.0,65238.0,69652.0,26204.0,20578.0
87,2003,Bentley College,1.38173018753781,2284.0,1653.0,526149.0,614661.0,522928.0,613152.0,54067.0,79985.0
88,2003,Berea College,0.6521264994547438,598.0,917.0,24444.0,20000.0,37661.0,33279.0,24257.0,22503.0
89,2003,Bergen Community College,0.9412591343451377,3349.0,3558.0,22750.0,23025.0,22750.0,23025.0,15000.0,15000.0
90,2003,Berry College,0.5747028862478778,677.0,1178.0,395147.0,409307.0,385879.0,400641.0,74766.0,74766.0
91,2003,Bethany College,1.2355212355212355,320.0,259.0,136734.0,105927.0,139912.0,122992.0,19195.0,30511.0
92,2003,Bethany College,0.9497816593886463,435.0,458.0,91237.0,42160.0,52587.0,51798.0,19118.0,18976.0
93,2003,Bethany Lutheran College,0.7530364372469636,186.0,247.0,38823.0,29247.0,58968.0,43118.0,19908.0,13459.0
94,2003,Bethel College,0.9419642857142857,211.0,224.0,27519.0,35344.0,73998.0,72805.0,25198.0,34374.0
95,2003,Bethel College,0.6568123393316195,511.0,778.0,91500.0,40000.0,82457.0,47118.0,45675.0,32480.0
96,2003,Bethel College,0.8452611218568665,437.0,517.0,77115.0,79526.0,71185.0,85141.0,34091.0,36312.0
97,2003,Bethel University,0.6482188295165394,1019.0,1572.0,75248.0,66536.0,75248.0,66536.0,22848.0,19159.0
98,2003,Bevill State Community College,0.6142763588736084,938.0,1527.0,193791.0,33581.0,226334.0,73597.0,32886.0,18136.0
99,2003,Big Bend Community College,0.9346210995542348,629.0,673.0,34334.0,25930.0,26052.0,26948.0,19500.0,19500.0
