,Rank,Name,Pos,Rating,Followers,state,Hometown,FollowersT,NILvalue2,NILVal,basketball,womens-basketball,gender
121,22,Jalynn Holmes,SG,,53K,MD,Riverdale BaptistUpper Marlboro,53000.0,46K,46000.0,,1.0,Womens
122,23,Mikala Hall,PG,,287K,IL,DanvilleDanville,287000.0,41K,41000.0,,1.0,Womens
123,24,Janiah Barker,PF,,29K,GA,Montverde AcademyMarietta,29000.0,39K,39000.0,,1.0,Womens
124,25,Myra Gordon,CG,,34K,TX,BellFort Worth,34000.0,38K,38000.0,,1.0,Womens
125,26,Raven Johnson,PG,,35K,GA,WestlakeAtlanta,35000.0,37K,37000.0,,1.0,Womens
126,27,Jayda Curry,PG,,32K,CA,CentennialCorona,32000.0,35K,35000.0,,1.0,Womens
127,28,Rori Harmon,PG,,29K,TX,Cy CreekHouston,29000.0,33K,33000.0,,1.0,Womens
128,29,Laeticia Amihere,PF,,32K,ON,King's Christian CollegiateMississauga,32000.0,33K,33000.0,,1.0,Womens
129,30,Ashley Owusu,CG,,30K,VA,Paul VI CatholicWoodbridge,30000.0,33K,33000.0,,1.0,Womens
130,31,Paris Clark,CG,,77K,NY,Long Island LutheranBronx,77000.0,33K,33000.0,,1.0,Womens
131,32,Shay Holle,CG,,19.4K,TX,WestlakeAustin,19400.0,32K,32000.0,,1.0,Womens
132,33,Chrissy Carr,CG,,37K,MN,ManhattanEden Prairie,37000.0,31K,31000.0,,1.0,Womens
133,34,Ashlyn Watkins,PF,,23K,SC,Cardinal Newman SchoolColumbia,23000.0,31K,31000.0,,1.0,Womens
134,35,Kamilla Cardoso,C,,24K,ia,Hamilton Heights Christian AcademyBrasilia,24000.0,31K,31000.0,,1.0,Womens
135,36,Bree Hall,SG,,30K,OH,WayneDayton,30000.0,30K,30000.0,,1.0,Womens
136,37,Olivia Miles,SG,,37K,NJ,Blair AcademyPhillipsburg,37000.0,30K,30000.0,,1.0,Womens
137,38,Ta'Niya Laston,SG,,35K,FL,American HeritagePlantation,35000.0,30K,30000.0,,1.0,Womens
138,39,Blair Green,SF,,28K,KY,HarlanHarlan,28000.0,28K,28000.0,,1.0,Womens
139,40,Tamari Key,C,,19.4K,NC,CaryCary,19400.0,27K,27000.0,,1.0,Womens
140,41,Kylie Feuerbach,SG,,27K,IL,SycamoreSycamore,27000.0,27K,27000.0,,1.0,Womens
141,42,Ayanna Patterson,SF,,22K,IN,HomesteadFort Wayne,22000.0,26K,26000.0,,1.0,Womens
142,43,Jordan Horston,CG,,20K,OH,Columbus Africentric Early CollegeColumbus,20000.0,26K,26000.0,,1.0,Womens
143,44,Victaria Saxton,PF,,23K,GA,Model 9-12Rome,23000.0,26K,26000.0,,1.0,Womens
144,45,Jacy Sheldon,SG,,12K,OH,Dublin CoffmanDublin,12000.0,26K,26000.0,,1.0,Womens
145,46,Madi Williams,SF,,14.3K,TX,Trinity Valley SchoolFort Worth,14300.0,25K,25000.0,,1.0,Womens
146,47,Olivia Thompson,SG,,26K,SC,Lexington Lexington,26000.0,25K,25000.0,,1.0,Womens
147,48,Saniya Rivers,SG,,31K,NC,Eugene AshleyWilmington,31000.0,25K,25000.0,,1.0,Womens
148,49,Aaliyah Moore,PF,,9.6K,OK,MooreMooreland,9600.0,24K,24000.0,,1.0,Womens
149,50,Maya Nnaji,SF,,23K,MN,Hopkins Hopkins,23000.0,24K,24000.0,,1.0,Womens
150,51,Alexia Mobley,SF,,13K,OH,ReynoldsburgReynoldsburg,13000.0,23K,23000.0,,1.0,Womens
151,52,Dominique Onu,SG,,18.2K,FL,Blair AcademyJacksonville,18200.0,23K,23000.0,,1.0,Womens
